Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,3491,67805,71296,0.049,1.000
Rand,136,71160,71296,0.0019,1.049
LRU,0,71296,71296,0.0,1.051
Marker,0,71296,71296,0.0,1.051
OnlineMin,16,71280,71296,0.0002,1.051
Predict[PLECO],52,71244,71296,0.0007,1.051
PredMark[PLECO],0,71296,71296,0.0,1.051
LMarker[PLECO],0,71296,71296,0.0,1.051
LNonMarker[PLECO],0,71296,71296,0.0,1.051
FollowerRobust[PLECOState],111,71185,71296,0.0016,1.050
PredictiveOnlineMin[PLECO]-msf-100,84,71212,71296,0.0012,1.050
RPB-OnlineMin[PLECO]-msf-100-pb-0,84,71212,71296,0.0012,1.050
RPB-OnlineMin[PLECO]-msf-100-pb-1,84,71212,71296,0.0012,1.050
RPB-OnlineMin[PLECO]-msf-100-pb-2,84,71212,71296,0.0012,1.050
RPB-OnlineMin[PLECO]-msf-100-pb-4,84,71212,71296,0.0012,1.050
RPB-OnlineMin[PLECO]-msf-100-pb-8,84,71212,71296,0.0012,1.050
RPB-OnlineMin[PLECO]-msf-100-pb-16,84,71212,71296,0.0012,1.050
RPB-OM-A[PLECO]-msf-100-pb-0,84,71212,71296,0.0012,1.050
RPB-OM-A[PLECO]-msf-100-pb-1,84,71212,71296,0.0012,1.050
RPB-OM-A[PLECO]-msf-100-pb-2,84,71212,71296,0.0012,1.050
RPB-OM-A[PLECO]-msf-100-pb-4,84,71212,71296,0.0012,1.050
RPB-OM-A[PLECO]-msf-100-pb-8,84,71212,71296,0.0012,1.050
RPB-OM-A[PLECO]-msf-100-pb-16,84,71212,71296,0.0012,1.050
RPB-OM-A-sum[PLECO]-msf-100-pb-0,84,71212,71296,0.0012,1.050
RPB-OM-A-sum[PLECO]-msf-100-pb-1,84,71212,71296,0.0012,1.050
RPB-OM-A-sum[PLECO]-msf-100-pb-4,84,71212,71296,0.0012,1.050
RPB-OM-A-sum[PLECO]-msf-100-pb-16,84,71212,71296,0.0012,1.050
RPB-OM-A-pr[PLECO]-msf-100-pb-0,84,71212,71296,0.0012,1.050
RPB-OM-A-pr[PLECO]-msf-100-pb-1,84,71212,71296,0.0012,1.050
RPB-OM-A-pr[PLECO]-msf-100-pb-4,84,71212,71296,0.0012,1.050
RPB-OM-A-pr[PLECO]-msf-100-pb-16,84,71212,71296,0.0012,1.050
RPB-OM-B[PLECO]-msf-100-pb-0-c-2.0,84,71212,71296,0.0012,1.050
RPB-OM-B[PLECO]-msf-100-pb-1-c-2.0,84,71212,71296,0.0012,1.050
RPB-OM-B[PLECO]-msf-100-pb-4-c-2.0,84,71212,71296,0.0012,1.050
RPB-OM-B[PLECO]-msf-100-pb-16-c-2.0,84,71212,71296,0.0012,1.050
RPB-OM-B[PLECO]-msf-100-pb-4-c-1.5,84,71212,71296,0.0012,1.050
RPB-OM-B[PLECO]-msf-100-pb-4-c-1.2,84,71212,71296,0.0012,1.050
"CombDet[Predict[PLECO], LRU]",52,71244,71296,0.0007,1.051
"CombineRandom[Predict[PLECO], LRU]",52,71244,71296,0.0007,1.051
